pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
86.2,-80.055,90.0,top,C1,,,C_0201_0603Metric,C_Small,smt
79.6,-67.68,90.0,top,C2,,,C_0201_0603Metric,C_Small,smt
119.4,-67.8,90.0,top,C3,,,C_0201_0603Metric,C_Small,smt
112.8,-89.055,90.0,top,C4,,,C_0201_0603Metric,C_Small,smt
105.855,-87.0,180.0,top,C5,,,C_0201_0603Metric,C_Small,smt
99.8,-84.8,-90.0,top,C6,,,C_0201_0603Metric,C_Small,smt
101.8,-84.8,-90.0,top,C7,,,C_0201_0603Metric,C_Small,smt
105.8,-89.4,-90.0,top,D1,,,D_SOD-323,D_Small,smt
99.4,-103.2,-90.0,top,J1,,,USB_A_Molex_48037-2200_Horizontal,USB_A,smt
117.0675,-88.7,90.0,top,J2,,,USB_A_Connfly_DS1095,USB_A,tht
81.9325,-81.7,-90.0,top,J3,,,USB_A_Connfly_DS1095,USB_A,tht
70.8,-70.6,-90.0,top,J4,,,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,USB_C_Receptacle_USB2.0_16P,smt
127.805,-70.6,90.0,top,J5,,,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,USB_C_Receptacle_USB2.0_16P,smt
99.4,-80.2,-90.0,top,U1,,,SO-16_3.9x9.9mm_P1.27mm,~,smt
